edge_count,pentagons,triangles,squares,circles,halfcircles,blob_count,color_count,class
111,6,1,188,5,30,10,2,Cubism
182,1,0,277,0,1,7,2,Op-Art
60,0,0,7,1,6,0,2,Colour-Field-Painting
555,20,21,381,17,132,50,2,Expressionism
123,4,6,51,4,18,10,1,Minimalism-Art
178,1,0,3,0,2,0,1,Hard-Edge-Art
2763,37,38,1446,133,1052,342,1,Minimalism-Art
208,8,17,404,10,36,5,1,Minimalism-Art
312,14,23,112,6,55,4,2,Hard-Edge-Art
725,25,19,918,29,220,94,1,Expressionism
78,1,0,1,0,0,2,2,Minimalism-Art
1629,29,15,527,95,615,167,2,Expressionism
455,6,0,24,4,6,52,1,Op-Art
116,3,0,10,1,5,4,2,Colour-Field-Painting
635,19,41,610,36,213,118,2,ActionPainting
2037,1,0,11,27,150,39,1,Op-Art
1117,39,96,1358,67,362,139,2,Expressionism
1104,44,47,1113,27,160,67,1,Post-impressionism
398,3,5,87,8,51,14,3,Cubism
334,6,13,167,6,51,36,3,ORPHISM
42,0,1,22,0,0,14,2,Minimalism-Art
495,23,31,217,24,145,65,2,Expressionism
36,0,1,33,1,3,5,1,Post-impressionism
2126,25,40,4270,46,222,83,1,Cubism
125,0,1,6,0,4,3,1,Minimalism-Art
14,0,0,13,0,1,3,2,Colour-Field-Painting
171,48,106,517,41,218,67,1,ActionPainting
762,0,0,16,1,6,1,1,Op-Art
603,42,48,1026,42,254,65,3,ActionPainting
70,2,0,2,0,3,1,2,Hard-Edge-Art
1815,41,75,900,67,474,164,3,Post-impressionism
564,19,15,1648,37,117,17,1,Colour-Field-Painting
694,30,75,963,37,187,81,3,Cubism
820,12,20,172,5,55,15,1,Op-Art
417,1,1,49,3,15,1,1,Surreal-Surrealism
201,3,6,44,3,29,3,2,Colour-Field-Painting
848,52,55,1850,75,313,195,2,Expressionism
2067,139,159,3363,148,649,270,1,Expressionism
141,11,6,86,8,28,32,2,Post-impressionism
808,23,14,1639,22,174,51,2,Cubism
1231,67,83,898,59,297,204,2,Cubism
336,8,7,241,8,77,56,2,Post-impressionism
320,1,0,7,4,47,16,2,Op-Art
265,9,6,256,6,44,57,3,Expressionism
777,11,1,55,7,25,124,1,Op-Art
606,1,2,34,5,24,36,2,ActionPainting
